Rank,Artist,Song,Revenue,Features
1,Ke$ha,Tik-Toc,11672.204,F
2,Lady GaGa,Bad Romance,10495.879,F
3,Train,"Hey, Soul Sister",10441.997,F
4,Rihanna & Eminem,Love The Way You Lie,10334.15,T
5,Katy Perry & Snoop Dogg,California Gurls,10312.665,T
6,Taio Cruz,Dynamite,8823.035,F
7,Lady GaGa & Beyonce,Telephone,8786.901,T
8,Taio Cruz & Ludacris,Break Your Heart,8389.579,T
9,Shakira & Freshly Ground,Waka Waka (This Time For Africa),8034.046,T
10,Lady GaGa,Alejandro,7963.809,F
11,The Black Eyed Peas,I Gotta Feeling,7881.549,F
12,BoB & Hayley Williams,Airplanes,7645.07,T
13,Usher & will.i.am,OMG,7495.639,T
14,Enrique Iglesias & Pitbull,I Like It,7403.357,T
15,Rihanna,Rude Boy,7377.93,F
16,Jason Derulo,In My Head,7213.604,T
17,Yolanda Be Cool & DCup,We No Speak Americano,6923.664,T
18,Owl City,Fireflies,6764.879,F
19,Iyaz,Replay,6758.297,F
20,Lady Antebellum,Need You Now,6631.913,F
21,Stromae,Alors on danse,6555.751,F
22,Eminem,Not Afraid,6507.44,F
23,Usher & Pitbull,DJ Got Us Fallin' In Love,6464.024,T
24,Jay-Z & Alicia Keys,Empire State Of Mind,6437.834,T
25,Flo-Rida & David Guetta,Club Can't Handle Me,6404.23,T
26,Katy Perry,Teenage Dream,6277.855,F
27,Bruno Mars,Just The Way You Are (Amazing),6185.866,F
28,Edward Maya,Stereo Love,6185.857,F
29,Justin Bieber & Ludacris,Baby,6157.021,T
30,Rihanna,Only Girl (In The World),6100.751,F
31,David Guetta & Kid Cudi,Memories,6058.493,T
32,BoB & Bruno Mars,Nothin' On You,5864.953,T
33,The Black Eyed Peas,Meet Me Half Way,5821.873,F
34,K'naan,Wavin' Flag,5794.8,F
35,David Guetta & Akon,Sexy Chick (Sexy Bitch),5725.978,T
36,Adam Lambert,What Do You Want From Me?,5454.054,F
37,Mike Posner,Cooler Than Me,5444.408,F
38,Travie McCoy & Bruno Mars,Billionaire,5387.104,T
39,David Guetta & Chris Willis,Getting Over You,5140.053,T
40,Unheilig,Geboren um zu leben,5095.396,F